Cod. Negocio;Nombre Negocio;Subtipo Negocio;Jerarquia
103328;FONDO DE CAPITAL PRIVADO VID Compartimento I MISHPAT;5;2
102634;FONDO DE CAPITAL PRIVADO AQUA COMPARTIMENTO SEIS AQUA VI;5;2
102610; FONDO CERRADO SENTENCIAS NACIoN II ALIANZA;3;1
102495;Fondo de Capital Privado TC Latam Estructuras Inmobiliarias Compartimento I;5;2
102465;FCP STATUM COMPARTIMIENTO I;5;2
102364;FONDO ASHMORE ANDINO III - FCP COMPARTIMENTO C;5;2
102363;FONDO ASHMORE ANDINO III - FCP COMPARTIMENTO B;5;2
102362;FONDO ASHMORE ANDINO III - FCP COMPARTIMENTO A;5;2
102266;COMPARTIMENTO A - FCP DEUDA INFRAESTRUCTURA II SURA - CREDICORP CAPITAL;5;2
102088;FONDO DE CAPITAL PRIVADO BIOAVANTE COMPARTIMENTO VACUNAS I;5;2
101471;FIC SURA RENTA FIJA COLOMBIA;3;1
101366; FONDO DE INVERSIoN COLECTIVA ABIERTO CON PACTO DE PERMANENCIA RENOVABLE BALANCEADO MODERADO ALIANZ;3;1
101060;FONDO DE CAPITAL PRIVADO TECH-O;5;1
100813;FONDO DE CAPITAL PRIVADO TAURUS CAPITAL COMPARTIMIENTO DOS;5;1
100523;FONDO DE CAPITAL PRIVADO MFX CAPITAL;5;1
100352;COMPARTIMENTO BANCOLDEX CAPITAL;5;2
10026;FONDO DE INVERSION COLECTIVA SUPERIOR ;3;1
10025;FONDO DE INVERSION COLECTIVA CONSOLIDAR ;3;1
100095;BTG PACTUAL DINAMICO;3;1
