Cód. Negocio;Tipo Part. <sup>1<sup/>;Cons. id Part.;Núm. unidades;Valor unidad para las operaciones del día t;Valor fondo al cierre del día t;Núm. Invers.;Rentab. dia;Rentab. mes;Rentab. sem;Rentab. año
8686;8;1;3,330,882.56;$30,630.49;$102,026,548,426.12;4914;8.608626;9.40244;16.11005;14.26083
8686;5;1;0;$10,000.00;$0.00;0;0;0;0;0
8734;7;2;11,687,439.30;$3,419.01;$39,959,431,701.73;108;9.493028;11.221286;13.139901;12.776468
8734;5;1;172,852,823.02;$3,239.64;$559,981,172,810.49;11163;8.566499;10.282351;12.192475;11.858418
8734;7;4;283,269,963.73;$3,435.56;$973,190,298,834.63;465;9.547777;11.276809;13.196075;12.841203
8734;7;1;231,472,976.77;$2,977.44;$689,197,094,171.24;2153;6.576879;8.266902;10.179891;9.84625
8734;7;5;68,212,930.69;$3,408.63;$232,512,499,030.79;93;9.54778;11.276809;13.196074;12.841203
8734;4;1;29,575,425.84;$3,369.62;$99,657,845,901.27;17;9.056033;10.778253;12.692188;12.347728
8734;5;2;2,209,277.10;$3,337.43;$7,373,313,129.43;14;9.383619;11.110326;13.027635;12.664588
8734;7;6;104,197,783.14;$3,400.28;$354,301,864,059.56;49;9.547778;11.27681;13.196075;12.841204
8734;7;3;116,063,618.43;$3,443.83;$399,703,741,771.66;125;9.547774;11.276809;13.196074;12.841203
8742;4;1;38,119,572.61;$3,379.80;$128,836,698,472.42;41;9.174425;10.478933;14.489965;13.377275
8742;7;4;25,181,710.01;$3,465.04;$87,255,544,177.27;111;9.666694;10.976145;14.998449;13.889405
8742;7;3;4,157,115.79;$3,383.91;$14,067,307,470.87;26;9.502363;10.810109;14.81233;13.686094
8742;7;1;19,473,709.70;$2,965.30;$57,745,482,782.57;49;6.692586;7.978506;11.952457;10.875686
8742;7;2;29,411,832.80;$3,446.19;$101,358,752,019.74;177;9.611894;10.920773;14.942628;13.824686
8742;7;5;72,287,473.43;$3,431.80;$248,076,253,967.66;69;9.666695;10.976145;14.993492;13.869271
8742;5;1;254,075,086.89;$3,204.84;$814,269,921,946.33;29843;8.630036;9.929531;13.926538;12.810718
11962;7;2;72,665,376.04;$20,604.96;$1,497,267,459,572.35;2364;8.864663;10.448541;13.824971;12.751763
11962;7;3;11,661,239.59;$22,015.56;$256,728,712,708.51;250;9.694984;11.352266;14.695632;13.634563
11962;7;4;10,648,737.82;$21,051.45;$224,171,333,375.35;26;9.443038;11.086206;14.432333;13.348404
11962;7;1;1,012,497.73;$19,249.74;$19,490,317,895.50;3;6.720105;8.448671;11.658505;10.656947
58695;8;0;54,722,519.50;$8,292.88;$453,807,461,467.97;153699;9.290912;10.543338;14.264531;12.651072
58735;8;0;443,236.29;$10,405.05;$4,611,894,538.39;352;-10.918639;64.428635;54.484863;28.525993
69368;8;0;451,928.97;$16,132.99;$7,290,967,708.58;3842;1.062985;40.80091;39.231388;15.720665
80428;8;0;6,731,279.29;$14,937.74;$100,550,123,505.02;8278;9.497832;6.612995;19.072144;16.486712
87342;5;1;24,676,071.06;$13,873.61;$342,346,098,922.81;27034;9.290581;11.428875;14.514871;13.551222
87342;5;2;79.994;$13,905.68;$1,112,373.13;5;9.630593;11.804266;14.878497;0
95249;5;1;4,137,824.29;$11,876.19;$49,141,578,028.90;10189;9.26844;3.422361;21.365005;18.586798
105784;5;1;758,393.82;$12,248.92;$9,289,501,471.12;3443;5.479771;21.880217;23.905043;15.445729
105786;5;1;417,974.58;$11,495.35;$4,804,762,542.44;626;5.021454;11.754826;15.081301;11.684271
105788;5;1;431,480.28;$13,035.04;$5,624,364,619.10;2120;4.598573;19.872873;28.579403;18.185177
107027;8;0;1,081,087.76;$10,073.35;$10,890,176,011.74;156;9.613809;-20.197498;2.796669;0.657637
115124;8;0;2,849,155.71;$10,868.06;$30,964,786,407.74;7541;-0.703328;7.94626;15.872523;0
115127;8;0;1,219,879.22;$10,988.16;$13,404,233,105.82;5413;0.234006;10.048659;17.121405;0
115128;8;0;416,215.18;$10,637.86;$4,427,639,999.19;4880;-1.448236;14.165083;0;0
90278;8;0;5,419,718.04;$13,154.20;$71,292,050,657.20;903;12.951089;13.879578;4.241198;5.510342
99575;5;1;405,018.43;$12,751.12;$5,164,439,870.45;161;-2.405111;6.833808;0.475605;2.468546
99575;7;1;14,862.97;$12,797.40;$190,207,429.07;1;-2.405109;6.878539;0.487045;2.474891
10779;5;5;30,347.16;$50,067.47;$1,519,405,444.65;3;9.579246;11.575432;14.23153;12.986387
10779;5;2;870,546.14;$49,194.82;$42,826,363,213.74;55;9.254477;11.244763;13.893011;12.651548
10779;5;4;129,271.14;$49,766.25;$6,433,340,040.87;41;9.470776;11.463895;14.080321;12.855687
10779;5;3;613,229.95;$49,194.82;$30,167,738,681.84;14;9.254477;11.244763;13.893011;12.651548
10779;5;6;1,383,189.39;$47,502.01;$65,674,304,450.68;3554;8.610666;10.589077;13.221632;11.98754
10779;5;7;1,445,959.28;$48,339.88;$69,897,504,307.68;87;8.931623;10.916027;13.556478;12.318678
10779;5;8;19,538,835.28;$48,434.66;$946,284,371,868.91;105358;8.931623;10.916009;13.602726;12.391843
61583;8;0;9,141,259.31;$14,127.30;$129,293,508,520.99;70567;8.33503;5.300469;15.754175;13.936776
61653;8;0;3,014,965.27;$19,003.00;$57,293,394,002.12;5091;9.21756;10.614264;15.771249;13.896516
51953;5;3;87,363,989.78;$3,534.52;$308,790,017,591.62;6655;8.823719;10.783204;13.9599;12.835347
51953;5;6;118,457.48;$11,328.06;$1,341,893,849.63;12;7.239112;9.170149;12.300673;11.141989
51953;4;1;29,053,953.73;$3,721.01;$108,110,083,495.76;104;9.579307;11.552344;14.751033;13.618694
51953;5;5;102,114.95;$13,256.68;$1,353,704,979.64;14;9.906297;11.885193;15.093399;13.957695
51953;6;1;8,442,365.18;$3,533.74;$29,833,148,245.12;1;8.823727;10.783203;13.959897;12.835345
51953;5;9;16,284.13;$11,918.28;$194,078,775.46;18;9.383955;11.353304;14.546226;13.415908
51953;5;4;37,137,704.63;$3,711.64;$137,841,928,272.82;25;9.579301;11.552343;14.751032;13.618694
51953;5;1;23,723,352.60;$4,031.64;$95,644,056,371.95;6;10.455678;12.444459;15.668658;14.527288
51959;5;34;3,410,010.24;$11,558.68;$39,415,207,812.90;18;10.769739;8.302849;17.347181;15.3966
51959;6;1;135,378.65;$16,001.68;$2,166,285,977.52;1;10.441448;7.981851;16.999453;15.054637
51959;6;11;18,244.24;$13,733.11;$250,550,109.94;1;10.55066;8.088637;17.115124;15.168393
51959;5;4;11,232,660.80;$2,383.14;$26,769,030,710.52;16;10.879606;8.410283;17.463562;15.511051
51959;5;14;1,007,729.46;$13,716.68;$13,822,701,187.00;9;10.93461;8.46406;17.521816;15.568339
51959;5;23;298,345.16;$13,823.06;$4,124,043,213.08;45;10.660091;8.195639;17.231043;15.282387
51959;5;33;617,582.96;$11,501.39;$7,103,063,038.10;37;10.223683;7.76892;16.76879;14.82779
51959;5;3;8,265,556.98;$2,815.52;$23,271,839,549.99;157;10.44144;7.981853;16.999456;15.054639
51959;5;13;945,939.09;$13,756.27;$13,012,594,301.02;99;10.550676;8.088654;17.11515;15.168415
51959;5;31;108,390.84;$11,157.56;$1,209,377,085.46;1;11.766361;9.277335;18.402811;11.542178
51959;5;24;108,353.00;$12,358.59;$1,339,090,320.51;1;10.989667;8.5179;17.580137;12.072017
81171;8;0;5,145,267.87;$22,129.42;$113,861,784,549.57;29;34.44815;19.543695;13.463999;15.39647
97207;5;13;110,052.78;$10,888.98;$1,198,362,247.32;4;3.408788;14.021482;15.390723;6.676222
97207;5;3;165,193.23;$10,898.73;$1,800,395,615.26;8;3.307316;13.909625;15.277526;6.571552
117050;5;4;100,023.19;$10,476.77;$1,047,919,503.40;1;10.462545;10.792335;0;0
117050;5;3;779,525.32;$10,481.43;$8,170,540,490.72;62;10.353325;10.682788;0;0
51968;5;2;28,018,783.29;$23,975.43;$671,762,374,542.59;1080;11.613594;15.345062;11.406673;9.555636
51968;4;1;128,144.40;$26,885.41;$3,445,214,373.52;1;13.287254;17.074518;13.077239;11.198522
81171;8;0;5,145,267.87;$22,129.42;$113,861,784,549.57;29;34.44815;19.543695;13.463999;15.39647
109571;4;1;2,306,180.18;$12,520.15;$28,873,713,811.64;2;16.81917;16.246204;21.790043;16.926407
109571;5;3;1,548,021.17;$12,472.47;$19,307,645,314.66;355;16.589539;16.017698;21.55067;16.696568
106809;8;4;441,243.53;$29,640.41;$13,078,639,969.59;50;10.634921;9.988286;10.93518;10.645913
106809;8;3;3,847,731.03;$27,688.93;$106,539,550,380.92;116;10.100499;9.457027;10.39936;10.111489
106809;8;2;341,868.16;$25,871.75;$8,844,726,032.23;54;9.571169;8.930874;9.868679;9.582187
106809;8;1;194,757.81;$22,620.35;$4,405,490,672.27;16;8.527806;7.893541;8.82244;8.53867
106810;8;0;265,381.40;$21,219.80;$5,631,339,548.94;70;11.719035;11.145742;11.295481;11.340388
106813;8;0;1,311,169.05;$14,464.55;$18,965,469,780.62;234;6.680452;8.399449;11.430318;10.576465
106814;8;0;1,110,402.35;$103,527.57;$114,957,255,440.89;2;4.44227;2.972768;10.275449;5.86874
106817;8;0;738,870.23;$18,438.40;$13,623,582,220.64;22;12.201921;14.845108;13.630325;12.798395
106814;8;0;1,110,402.35;$103,527.57;$114,957,255,440.89;2;4.44227;2.972768;10.275449;5.86874
106817;8;0;738,870.23;$18,438.40;$13,623,582,220.64;22;12.201921;14.845108;13.630325;12.798395
106811;8;0;2,992,773.97;$87,463.03;$261,757,080,407.26;16;-12.300834;39.159565;17.605507;23.87089
106812;8;0;4,520,376.78;$90,290.68;$408,147,879,837.46;41;9.585158;19.305986;82.2213;51.737015
106816;8;0;1,477,433.70;$38,840.12;$57,383,700,388.35;36;21.47233;17.170305;6.575922;9.976917
106818;8;0;1,183,550.16;$45,032.75;$53,298,516,983.33;19;-0.83941;-1.005508;4.001007;37.017433
106820;8;0;6,331,904.65;$59,945.70;$379,570,471,901.42;42;0.461369;0.489087;0.19358;3.07728
108402;8;0;13,618,535.36;$21,788.87;$296,732,454,950.43;150;19.854359;15.099462;9.85012;7.753761
112099;8;0;2,147,423.51;$13,150.69;$28,240,101,470.05;30;-2.168325;2.403304;5.654326;24.258566
11407;5;20;8,214,895.40;$14,547.05;$119,502,523,571.29;1;11.686678;12.899565;14.353411;13.863809
11407;5;22;24.309;$11,848.96;$288,036.94;1;10.090785;11.286388;12.719518;12.236892
11407;5;19;584,171.11;$20,072.26;$11,725,633,107.38;19;10.036567;11.231581;12.664007;12.181618
11407;5;18;149,608,666.89;$21,350.76;$3,194,258,305,551.99;489;10.362687;11.561233;12.997893;12.514078
11407;5;21;1,078,443.79;$11,197.16;$12,075,502,478.64;2;11.686681;12.899565;14.353411;11.564942
11427;5;5;183,578.15;$3,394.17;$623,096,225.42;8;10.787894;11.849632;13.898319;13.327685
11427;5;4;1,517,595.45;$3,272.09;$4,965,707,302.88;18;10.131853;11.187326;13.223915;12.65665
11427;5;8;7,367,882.79;$3,213.27;$23,674,983,446.05;530;9.806731;10.859098;12.889692;12.324097
11427;5;6;294,860,343.83;$3,242.37;$956,046,144,243.25;89;9.969049;11.02297;13.056557;12.490128
11427;5;3;41,419,709.09;$3,394.17;$140,585,710,365.80;36;10.787894;11.849632;13.898319;13.327685
11427;5;7;23,645,466.67;$3,242.37;$76,667,336,625.30;333;9.969049;11.02297;13.056557;12.490128
11403;5;13;491,986.31;$3,433.12;$1,689,049,180.08;38;10.384484;11.857876;13.183714;12.715478
11403;5;11;31,278,032.38;$3,404.40;$106,482,779,061.18;126;10.221062;11.692288;13.016168;12.548623
11403;5;12;23,304.88;$3,423.52;$79,784,590.19;10;10.329948;11.802626;13.12781;12.659805
11403;5;14;375,499.93;$3,442.76;$1,292,756,626.24;32;10.43905;11.913181;13.239673;12.771206
11403;5;16;21,562,985.75;$12,422.33;$267,862,615,254.39;1;10.058132;11.527187;12.849116;12.38226
11407;5;19;584,171.11;$20,072.26;$11,725,633,107.38;19;10.036567;11.231581;12.664007;12.181618
11407;5;18;149,608,666.89;$21,350.76;$3,194,258,305,551.99;489;10.362687;11.561233;12.997893;12.514078
11407;5;21;1,078,443.79;$11,197.16;$12,075,502,478.64;2;11.686681;12.899565;14.353411;11.564942
11407;5;20;8,214,895.40;$14,547.05;$119,502,523,571.29;1;11.686678;12.899565;14.353411;13.863809
11407;5;22;24.309;$11,848.96;$288,036.94;1;10.090785;11.286388;12.719518;12.236892
11427;5;3;41,419,709.09;$3,394.17;$140,585,710,365.80;36;10.787894;11.849632;13.898319;13.327685
11427;5;8;7,367,882.79;$3,213.27;$23,674,983,446.05;530;9.806731;10.859098;12.889692;12.324097
11427;5;5;183,578.15;$3,394.17;$623,096,225.42;8;10.787894;11.849632;13.898319;13.327685
11427;5;4;1,517,595.45;$3,272.09;$4,965,707,302.88;18;10.131853;11.187326;13.223915;12.65665
11427;5;6;294,860,343.83;$3,242.37;$956,046,144,243.25;89;9.969049;11.02297;13.056557;12.490128
11427;5;7;23,645,466.67;$3,242.37;$76,667,336,625.30;333;9.969049;11.02297;13.056557;12.490128
58564;5;3;3,897,448.64;$14,385.08;$56,065,104,790.62;96;9.495811;11.350899;13.342187;12.945452
58564;6;2;936,522.07;$12,727.50;$11,919,582,501.04;1;9.172245;11.024294;13.009105;12.613104
58564;5;1;13,926,651.17;$24,531.37;$341,639,893,792.72;5417;9.172245;11.02223;13.007113;12.610772
58564;4;1;20,455,762.08;$18,312.18;$374,589,687,930.44;79;9.984762;11.851044;13.84994;13.450803
58564;4;2;52,133,916.73;$18,838.72;$982,136,075,688.63;296;9.984762;11.851131;13.851689;13.452329
