Cod Transacción;Núm. unidades;Valor unidad para las operaciones del día t;Valor fondo al cierre del día t;Núm. Invers.;Rentab. dia;Rentab. mes;Rentab. sem;Rentab. año
9508;446,186.246;$12,974.07;$5,808,416,708.33;2116;152.3005;27.336718;22.592854;19.392244
9509;1,081,087.76;$10,047.68;$10,862,419,954.08;156;11.838355;-21.958103;0.746282;0.453982
9510;2,807,374.831;$10,858.88;$30,556,484,604.72;7453;10.235923;9.021711;13.186346;0.0
9511;1,152,033.57;$10,973.41;$12,847,663,367.76;5236;36.626934;14.879322;16.85325;0.0
9512;395,507.982;$10,613.51;$4,268,871,017.90;4776;95.71956;21.38953;0.0;0.0
9513;5,419,719.783;$13,089.76;$70,942,847,096.32;901;9.07755;7.393118;4.135023;5.734704
9514;14,862.971;$12,808.09;$190,366,244.06;1;-2.407028;7.779923;0.410818;2.485263
9515;405,018.43;$12,761.77;$5,168,751,955.18;161;-2.407029;7.721423;0.399325;2.4789
9516;1,592,787.414;$48,234.42;$78,429,633,266.65;87;11.136438;11.184492;13.129761;12.31722
9517;597,955.217;$49,083.51;$28,349,741,890.01;13;11.465809;11.514023;13.465033;12.650086
9518;101,020.724;$49,650.96;$8,212,745,443.30;41;11.686474;11.733609;13.651433;12.854222
9519;1,369,584.852;$47,402.20;$64,583,686,055.05;3534;10.809183;10.856736;12.796166;11.986083
9520;36,155.844;$49,950.12;$1,365,988,728.16;3;11.797134;11.84549;13.802283;12.98492
9521;19,246,843.258;$48,328.99;$930,609,741,140.16;105028;11.136374;11.184475;13.222405;12.390384
9522;898,494.711;$49,083.51;$44,101,275,686.90;55;11.465809;11.514023;13.465033;12.650086
9523;9,132,414.122;$14,120.53;$128,875,334,400.26;70580;-13.455496;5.980638;15.223716;14.030116
9524;3,047,030.854;$18,978.04;$57,458,999,211.13;5091;3.836703;12.230707;15.340568;14.03592
9525;36,071,634.973;$3,703.68;$132,156,075,428.86;25;5.610264;12.2961;14.061691;13.661306
9526;15,261.45;$11,893.29;$184,508,971.61;18;5.421823;12.095743;13.858122;13.458442
9527;146,873.444;$11,310.44;$2,726,996,073.94;11;3.354601;9.898069;11.626018;11.177607
9528;104,491.37;$13,227.15;$1,382,123,152.75;14;5.92544;12.631163;14.402009;14.000435
9529;8,314,608.695;$3,526.83;$29,322,478,701.84;1;4.881988;11.521845;13.275296;12.877664
9530;23,849,106.676;$4,022.11;$95,841,526,440.37;6;6.454993;13.194147;14.973819;14.570241
9531;88,672,482.47;$3,527.61;$309,378,754,240.59;6526;4.881992;11.521847;13.275298;12.877666
9532;44,680,901.635;$3,713.03;$153,476,109,730.58;104;5.610266;12.2961;14.061691;13.661306
9533;615,841.178;$11,488.92;$7,075,350,936.11;37;2.245001;9.39322;15.629254;14.845639
9534;18,244.241;$13,717.10;$250,258,159.93;1;2.548379;9.71774;15.97222;15.58209
9535;11,207,039.268;$2,380.17;$26,674,678,074.55;15;2.853582;10.044223;16.317265;15.925976
9536;3,099,335.596;$11,544.58;$35,780,535,177.39;17;2.751632;9.935174;16.202017;15.400512
9537;108,390.844;$11,141.22;$1,207,605,921.27;1;3.676303;10.924305;17.247374;11.379268
9538;135,378.65;$15,983.47;$2,163,820,346.14;1;2.447045;9.609351;15.857672;15.467926
9539;8,099,314.303;$2,812.32;$22,777,825,108.91;154;2.447057;9.609354;15.857675;15.467929
9540;298,345.164;$13,806.58;$4,119,126,056.51;45;2.649904;9.826352;16.087008;15.696492
9541;957,645.459;$13,740.24;$12,552,550,784.72;96;2.548387;9.71776;15.972243;15.582112
9542;108,353.003;$12,342.85;$1,337,384,716.25;1;2.955692;10.153456;16.432707;11.92966
9543;855,752.608;$13,699.39;$12,755,653,146.63;8;2.9046;10.098808;16.37495;15.983469
9544;5,145,267.869;$22,025.74;$113,328,340,140.72;29;4.740873;23.391123;13.883021;15.024754
9545;165,193.225;$10,888.70;$1,798,738,868.30;8;161.5155;21.591644;12.600523;7.100802
9546;110,052.782;$10,878.66;$1,197,227,296.30;4;161.77173;21.711025;12.711098;7.205991
9547;100,023.193;$10,448.45;$1,045,087,233.01;1;9.822887;10.765415;0.0;0.0
9548;779,525.315;$10,453.39;$8,148,678,366.56;62;9.714296;10.655894;0.0;0.0
9549;128,144.396;$26,701.47;$3,421,643,547.06;1;13.358958;16.213371;12.480388;11.48719
9550;28,018,783.285;$23,821.11;$667,438,451,702.05;1080;11.684244;14.496608;10.818616;9.840052
9551;5,145,267.869;$22,025.74;$113,328,340,140.72;29;4.740873;23.391123;13.883021;15.024754
9552;2,334,878.011;$12,477.87;$29,134,304,286.59;2;3.996057;23.083311;20.34626;16.76127
9553;1,567,316.784;$12,431.02;$19,483,351,212.63;355;3.79157;22.841402;20.109716;16.531754
9554;441,243.525;$29,580.51;$13,052,206,701.70;50;14.527731;10.85254;11.0685;10.70558
9555;193,164.948;$22,586.53;$4,362,926,448.38;16;12.346645;8.74137;8.953228;8.597203
9556;333,809.041;$25,826.29;$8,621,049,570.01;53;13.426737;9.786846;10.000721;9.641282
9557;3,879,472.793;$27,636.63;$106,338,329,077.25;116;13.974622;10.31712;10.532038;10.170869
9558;265,381.401;$21,164.95;$5,616,783,221.40;70;9.931908;11.60846;11.349981;11.368933
9559;1,319,445.564;$14,438.84;$19,045,255,841.88;234;14.071466;9.119352;11.008578;10.595832
9560;1,110,402.353;$103,161.68;$114,550,974,373.76;2;4.27815;-0.273996;10.929967;8.763166
9561;738,870.23;$18,380.16;$13,580,555,772.30;22;86.92179;21.541143;13.71147;12.829573
9562;1,110,402.353;$103,161.68;$114,550,974,373.76;2;4.27815;-0.273996;10.929967;8.763166
9563;738,870.23;$18,380.16;$13,580,555,772.30;22;86.92179;21.541143;13.71147;12.829573
9564;2,992,773.965;$84,942.40;$254,213,392,316.54;16;-1.083293;29.45449;15.073908;24.073011
9565;4,520,376.778;$89,381.86;$404,039,662,904.61;41;9.346786;25.397951;83.03593;51.2638
9566;1,477,433.695;$38,644.34;$57,094,451,953.63;36;20.91453;13.073302;6.097887;10.257619
9567;1,183,550.157;$45,042.54;$53,310,108,557.61;19;-5.630839;-1.046412;3.992652;55.082348
9568;6,331,904.647;$59,937.62;$379,519,306,901.53;42;0.687228;0.488146;0.162722;3.06051
9569;13,618,535.359;$21,698.86;$295,506,677,511.63;150;-3.526914;14.126483;3.802842;7.943903
9570;2,147,423.513;$13,249.92;$28,453,195,866.99;30;-2.999469;-2.427849;6.574373;25.09479
9571;24.309;$11,819.23;$287,314.24;1;12.818176;11.568877;12.440947;12.187017
9572;8,638,108.811;$14,504.83;$125,294,331,512.54;1;14.453495;13.186137;14.070813;13.813213
9573;586,486.104;$20,022.17;$11,709,020,680.67;20;12.762617;11.513931;12.385573;12.131768
9574;1,078,443.79;$11,164.66;$12,040,455,743.03;2;14.453497;13.186137;14.070813;11.24203
9575;181,346,289.366;$21,295.75;$3,499,606,340,284.01;487;13.096793;11.844418;12.718636;12.464081
9576;318,300,242.5;$3,234.44;$1,026,831,426,470.89;89;11.473492;11.463347;12.875076;12.500497
9577;19,676,585.722;$3,234.44;$63,104,840,175.86;333;11.473492;11.463347;12.875076;12.500497
9578;12,104,350.469;$3,385.18;$51,733,545,637.29;8;12.303513;12.293279;13.715491;13.33813
9579;6,292,271.728;$3,205.54;$20,165,205,930.01;530;11.308973;11.298827;12.708478;12.33445
9580;2,437,823.062;$3,263.95;$9,956,394,804.22;18;11.638515;11.628353;13.042167;12.667034
9581;44,560,864.928;$3,385.18;$152,446,661,280.01;36;12.303513;12.293279;13.715491;13.33813
9582;21,562,985.745;$12,391.96;$267,207,713,853.05;1;11.901232;12.025057;12.731588;12.383225
9583;30,534,727.96;$3,395.93;$103,694,619,851.46;126;12.066883;12.190892;12.898466;12.549589
9584;23,320.417;$3,414.91;$79,637,218.78;11;12.177588;12.301721;13.009993;12.660772
9585;491,986.314;$3,424.45;$1,684,782,923.23;38;12.233027;12.357218;13.065838;12.716446
9586;375,499.932;$3,434.02;$1,289,473,874.62;32;12.288519;12.412769;13.121739;12.772174
9587;1,078,443.79;$11,164.66;$12,040,455,743.03;2;14.453497;13.186137;14.070813;11.24203
9588;181,346,289.366;$21,295.75;$3,499,606,340,284.01;487;13.096793;11.844418;12.718636;12.464081
9589;8,638,108.811;$14,504.83;$125,294,331,512.54;1;14.453495;13.186137;14.070813;13.813213
9590;24.309;$11,819.23;$287,314.24;1;12.818176;11.568877;12.440947;12.187017
9591;586,486.104;$20,022.17;$11,709,020,680.67;20;12.762617;11.513931;12.385573;12.131768
9592;2,437,823.062;$3,263.95;$9,956,394,804.22;18;11.638515;11.628353;13.042167;12.667034
9593;318,300,242.5;$3,234.44;$1,026,831,426,470.89;89;11.473492;11.463347;12.875076;12.500497
9594;6,292,271.728;$3,205.54;$20,165,205,930.01;530;11.308973;11.298827;12.708478;12.33445
9595;12,104,350.469;$3,385.18;$51,733,545,637.29;8;12.303513;12.293279;13.715491;13.33813
9596;44,560,864.928;$3,385.18;$152,446,661,280.01;36;12.303513;12.293279;13.715491;13.33813
9597;19,676,585.722;$3,234.44;$63,104,840,175.86;333;11.473492;11.463347;12.875076;12.500497
9598;9,965,439.497;$18,233.19;$185,289,716,974.83;19;15.219477;13.77844;14.05564;14.286167
9599;936,522.07;$12,699.23;$11,893,106,342.99;1;13.517313;12.090268;12.364011;12.591163
9600;67,498,959.754;$18,793.02;$1,235,580,690,947.46;296;14.362078;12.927199;13.201634;13.430272
9601;19,656,641.714;$18,267.77;$288,975,705,011.77;79;14.362077;12.926868;13.199445;13.428757
9602;14,203,119.52;$24,476.89;$340,690,033,418.01;5409;13.517313;12.088824;12.361821;12.588901
9603;5,359,942.27;$14,351.96;$80,134,750,812.87;96;13.85372;12.421987;12.69503;12.92354
9604;47,317.033;$14,323.89;$677,763,988.47;3;64243.43;140.64935;74.143234;41.00038
9605;242,493.671;$25,707.39;$6,233,879,451.43;162;63003.668;135.92181;70.71986;37.90891
9606;443,106.799;$15,043.47;$6,721,861,823.93;42;63370.52;137.3205;71.7331;38.854565
9607;34,570.634;$12,425.69;$429,563,959.40;2;63772.82;138.85529;0.0;0.0
9608;7,420,132.789;$18,542.52;$137,503,674,192.80;1051;29.531734;11.154828;18.70629;17.84237
9609;4,300,141.108;$20,074.46;$87,113,027,997.64;47;30.560074;12.042152;19.653198;18.78263
9610;18,381,482.874;$19,058.09;$350,340,878,525.41;34;30.819706;12.26621;19.892332;19.019114
9611;8,021,927.947;$21,177.94;$168,887,911,183.83;9;31.473324;12.829733;20.494146;19.617334
9612;4,768,016.299;$18,716.78;$89,241,898,248.82;52;30.172544;11.707525;19.295485;18.42704
9613;134,728.917;$27,105.38;$3,651,878,336.38;263;15.676294;15.797506;17.081577;17.530102
9614;97.215;$6,108,641.02;$593,852,453.57;1;-2.723332;24.987314;-19.859486;14.156256
9615;14,720,273.747;$12,781.01;$188,155,857,161.46;337;14.329654;16.739916;17.696362;17.678457
9616;412,373.508;$19,317.73;$7,966,120,970.78;2;3824.379;65.74815;37.84404;4.906803
9617;216,811.274;$21,726.49;$4,710,547,332.54;70;3748.1885;62.48989;35.13246;2.841655
9618;1,698,408.332;$15,850.59;$26,880,761,168.36;12;3785.9094;64.10249;36.474964;3.864066
9619;145,053.681;$15,880.46;$2,303,519,558.91;4;3763.1885;63.131298;35.666042;3.247889
9620;442,833.096;$13,016.16;$5,763,987,471.25;15;95.1535;-0.227148;9.337795;-13.686079
9621;435,642.288;$12,734.47;$5,547,675,630.79;1;97.68584;1.075082;10.764643;-12.558972
9622;925,989.272;$13,492.54;$12,493,944,045.65;13;96.216934;0.319766;9.93694;-13.212866
9623;358,756.717;$12,634.12;$4,532,576,790.37;57;94.28452;-0.67141;8.852022;-14.069718
9624;415,007.231;$9,259.71;$3,842,845,492.62;3;5631.661;17.777657;18.48707;-9.888583
9625;292,787.389;$9,930.57;$2,907,546,438.72;2;5688.3423;18.959553;19.676178;-8.983534
9626;153,002.512;$9,235.05;$1,412,985,962.85;41;5576.082;16.618525;17.320827;-10.776143
9627;124,462.101;$9,368.95;$1,166,079,045.96;3;5598.1836;17.079674;17.78483;-10.423055
9628;1,164,151.961;$13,762.73;$16,021,904,951.31;9;314.23917;5.484162;27.099955;19.79994
9629;533,824.904;$10,833.25;$5,783,058,314.78;3;318.3654;6.543383;0.0;0.0
9630;590,008.243;$13,619.29;$8,248,495,820.71;34;312.61136;5.066186;26.596996;19.32546
9631;296,218.98;$13,552.23;$4,014,427,505.29;9;311.80225;4.859122;26.347553;19.089546
9632;412,760.442;$13,414.50;$5,536,974,617.40;79;310.19348;4.445481;25.849602;18.621145
9633;1,904,630.545;$10,208.45;$19,443,330,685.61;7;9.448251;-9.300095;-0.166329;-17.50059
9634;1,027,388.117;$10,075.27;$10,351,210,079.77;99;8.639686;-9.973226;-0.907086;-18.11193
9635;3,573,166.315;$13,453.42;$48,071,294,353.55;5;14.179184;4.825271;23.374645;23.16452
9636;3,450,477.985;$14,845.39;$52,394,694,421.43;43;13.896657;4.564334;23.068089;22.85791
9637;1,884,423.605;$14,849.04;$27,981,872,114.05;4;15.035212;5.614325;24.30302;24.091265
9638;2,046,454.229;$14,693.12;$30,068,807,203.23;182;12.780357;3.535184;22.293924;22.167875
9639;956,776.366;$14,482.95;$13,856,947,918.97;7;13.896655;4.563417;23.068336;22.858713
9640;104,198,330.676;$11,240.81;$1,171,273,305,906.85;1286;4207.5225;14.107339;3.149759;2.621209
9641;1,305,479.752;$8,110.35;$10,587,895,481.20;19;10.425867;-13.554883;-1.438325;-18.515293
9642;4,997,323.066;$12,627.84;$63,105,398,557.46;4;15.141649;16.315374;17.397062;17.664244
9643;30,181,136.676;$21,774.98;$656,272,332,387.42;1562;11.810423;10.999511;11.493477;11.573515
9644;16,953,763.367;$22,207.94;$378,752,944,106.93;478;12.301924;11.457251;11.925757;12.009436
9645;11,530,646.67;$24,794.82;$285,200,354,978.35;2;14.110143;13.290891;13.730699;13.840985
9646;41,113,165.202;$21,902.10;$895,910,002,186.40;305;11.919051;11.104888;11.587903;11.669848
9647;6,674,193.312;$21,432.42;$142,900,022,131.25;12154;11.593435;10.760734;11.281284;11.368895
9648;14,821,255.72;$13,316.09;$197,361,143,389.35;5;14.996014;14.730433;15.572498;15.6045
9649;13,918,197.779;$21,645.22;$301,491,744,328.66;2878;11.701826;10.905204;11.36425;11.458745
9650;2,316,314.39;$197,934.86;$438,236,440,272.10;83;12.545043;11.677126;13.585656;13.364687
9651;9,505,954.271;$12,632.97;$153,178,744,057.13;10;12.266476;11.487154;13.356581;13.057202
9652;6,535,447.232;$175,451.44;$1,129,448,671,650.56;12411;11.057258;10.094186;11.483393;11.299499
9653;3,092,727.049;$219,903.19;$680,235,479,254.96;37;13.388783;12.520714;14.497921;14.200286
9654;4,640,788.438;$178,079.72;$833,327,745,462.51;2031;11.226107;10.256682;11.645034;11.459745
9655;1,554,689.194;$184,373.42;$305,429,572,431.83;827;11.713733;10.73666;12.132827;11.97629
9656;6,491,846.854;$172,565.86;$1,122,237,515,628.38;79969;10.840476;9.859469;11.243175;11.061359
9657;43,957,157.539;$10,993.54;$444,380,303,499.80;9;12.54497;11.648026;13.725195;0.0
9658;7,935,180.464;$182,421.32;$1,447,057,560,987.10;515;11.603666;10.605282;12.013791;11.836021
9659;260,212.509;$190,067.65;$51,511,332,116.64;3;12.272536;11.25218;12.625587;12.442639
9660;691,807.502;$188,620.79;$146,795,580,718.39;19;11.989353;10.957663;12.353217;12.168444
9661;4,219,746.727;$192,575.43;$793,804,425,316.99;43;12.523685;11.417667;12.831232;12.667068
9662;5,545,756.564;$13,008.62;$73,206,497,699.67;15;10.539972;12.609456;13.870485;13.479604
9663;5,190,406.196;$12,573.34;$66,260,034,185.85;29;9.283519;11.329609;12.645395;12.28511
9664;1,952,635.199;$12,503.01;$24,990,027,284.13;452;9.014137;11.055277;12.369848;11.996489
9665;6,805,864.09;$12,516.59;$83,100,391,279.76;8;9.554231;11.605312;12.92519;12.558206
9666;8,126,877.025;$12,371.85;$101,452,570,019.63;1419;8.426135;10.461402;11.840321;11.446932
9667;5,448,646.458;$12,390.68;$70,057,565,768.22;96;8.532574;10.564579;11.888538;11.514694
9668;19,466,251.047;$12,438.35;$238,745,553,662.01;90;8.749057;10.78433;12.104398;11.739781
9669;43,777,690.507;$12,670.89;$556,224,453,900.32;7;9.608535;11.660628;12.972624;12.61717
9670;14,396,774.057;$12,589.20;$172,205,094,955.85;11;9.337555;11.524158;12.714864;12.356045
9671;22,482,945.719;$12,633.07;$286,007,423,642.08;9;9.499982;11.550049;12.863448;12.493604
9672;11,164,875.939;$12,473.40;$135,883,450,705.64;19;8.853143;10.891134;12.209255;11.866302
9673;506,819.29;$13,744.93;$6,966,196,185.34;58;9.608533;11.660628;13.409849;12.826301
9674;156,398.798;$12,256.12;$1,866,152,230.67;285;18299.656;111.295815;67.06425;30.759148
9675;406,405.48;$12,738.27;$5,176,901,149.46;11;18443.041;112.96278;68.383125;31.819328
9676;143,167.409;$12,379.04;$1,772,274,445.88;3;18479.238;113.383644;68.716095;32.080173
9677;58,318.087;$10,435.35;$608,569,393.05;1;18662.377;115.51309;70.40088;33.399998
9678;217,098.146;$12,422.26;$2,747,538,611.40;29;18344.223;111.81391;67.47417;31.127443
9679;100,928.208;$11,811.85;$1,192,148,813.49;1;18570.357;114.44309;69.55431;32.736816
9680;2,413,029.66;$19,865.13;$48,112,507,591.09;502;13.823543;10.724446;13.969063;13.16701
9681;3,025,875.954;$13,395.49;$40,533,082,559.00;7;15.814742;13.316447;17.83263;16.753042
9682;16,592.329;$16,799.28;$278,739,155.01;15;14.6685;11.477355;14.757626;13.96085
9683;4,498,226.947;$20,788.82;$95,054,845,793.48;40;14.329014;11.166615;14.444589;13.644541
9684;975,870.594;$17,703.90;$17,224,025,250.93;9;14.952926;12.47317;16.95584;15.884262
9685;3,932,625.018;$20,260.81;$80,772,397,770.37;196;14.103808;10.960443;14.232892;13.436194
9686;1,183,581.079;$12,706.99;$15,039,757,643.79;1;14.668489;11.477353;14.757613;13.960844
9687;951,136.025;$19,430.65;$18,520,218,650.61;2219;13.544647;10.474368;13.720662;12.918097
9688;2,587,223.614;$15,838.50;$40,955,999,352.32;58;14.329014;11.166615;14.424704;13.634796
9689;168,495.439;$12,347.17;$2,080,441,762.99;15;130.70952;0.355706;8.270339;-15.115578
9690;913,485.718;$13,389.96;$12,231,537,881.99;1;133.91284;1.752322;9.783776;-13.930988
9691;3,273,204.092;$13,644.26;$44,660,446,041.68;10;133.4498;1.550436;9.565992;-14.10184
9692;57,812.049;$8,289.16;$479,213,485.58;1;-78.41985;43.53353;105.100555;73.68057
9693;5,704.827;$9,418.82;$53,732,739.12;1;-78.31149;44.25055;106.124146;74.548
9694;26,959.628;$7,828.81;$211,061,856.90;16;-78.419846;43.53353;105.09772;73.67917
9695;40,715.237;$7,890.66;$321,270,202.78;3;-78.41985;43.53353;105.103676;73.681885
9696;28,521.35;$8,152.28;$232,513,954.86;1;-78.31149;44.250732;106.12411;74.54795
9697;235,258.713;$10,804.42;$2,541,833,433.34;26;221.31409;-3.477003;7.974754;-12.782975
9698;249,644.766;$11,274.28;$2,814,564,983.32;1;224.81624;-2.421459;9.155189;-11.828914
9699;4,631.484;$11,740.06;$54,373,880.67;1;226.75887;-1.835939;9.809981;-11.300478
9700;314,194.673;$11,206.18;$3,520,921,108.91;10;224.17383;-2.615085;8.938653;-12.003924
9701;146,471.654;$9,936.01;$1,455,343,348.88;1;221.94524;-3.286783;8.187481;-12.611044
9702;1,236,174.997;$13,008.62;$16,080,931,995.99;9;9.209163;12.125713;12.686796;13.136044
9703;2,946,541.346;$12,963.56;$38,197,655,716.05;100;8.889271;11.78928;12.400113;12.855536
9704;1,828,880.107;$14,063.56;$25,720,572,024.22;1;10.947418;14.160453;15.303996;15.957295
9705;1,931,389.685;$12,933.17;$24,978,992,888.52;243;8.730024;11.667348;12.483917;12.826814
9706;493,107.259;$12,813.60;$6,318,479,353.26;274;8.518417;11.460073;11.136884;12.119685
9707;649,329.719;$13,678.79;$8,882,046,379.26;3;11.501997;14.731048;15.88029;16.536846
9708;888,376.388;$13,049.03;$11,592,448,395.25;8;9.209163;12.125713;12.686796;13.136044
9709;1,309,263.203;$16,551.69;$21,670,525,165.94;1;19.596714;19.58764;22.289675;25.314552
9710;500,000;$17,292.22;$8,646,110,367.00;1;21.389778;21.38057;24.123001;27.1931
9711;270,005.182;$15,845.94;$4,278,486,937.76;3;17.855722;17.84678;20.509588;23.490557
9712;2,500,833.579;$15,855.14;$39,651,057,106.82;112;17.855722;17.84678;20.509588;23.490557
9713;172,989.085;$12,274.13;$2,123,291,199.93;5;-3.125739;8.827378;19.990856;14.02067
9714;14,447.918;$11,436.32;$165,230,989.83;2;-4.313093;7.493942;18.521029;12.623781
9715;66,539.655;$11,471.10;$763,283,071.19;3;-4.077949;7.758016;18.812115;12.900421
9716;24,389.278;$11,371.41;$277,340,431.32;17;-4.547087;7.231159;18.231363;12.34849
9717;353,974.407;$11,985.84;$4,242,680,838.00;1;-2.399119;9.643394;20.890339;14.875518
9718;2,533,519.261;$14,189.23;$35,948,696,940.74;105;17.177786;17.553545;20.77656;23.114574
9719;235,313.288;$14,339.15;$3,374,192,489.21;5;17.743671;18.121239;21.359789;23.708992
9720;1,505,971.346;$14,804.75;$22,295,524,200.09;1;19.474508;19.857613;23.143642;25.527277
9721;173,767.21;$12,050.42;$2,093,967,543.03;2;2.313065;12.189722;14.231004;13.033319
9722;96,774.844;$12,350.98;$1,195,263,870.89;41;1.80783;11.635855;13.667039;12.475274
9723;614,717.838;$12,583.59;$7,735,358,990.86;1;3.080365;13.030879;15.087423;13.880784
9724;154,710.75;$12,400.28;$1,918,457,111.42;11;2.059824;11.912105;13.948349;12.75362
9725;529,218.335;$13,170.45;$6,970,045,657.31;1;23.776636;19.046732;21.193598;22.563297
9726;84,608.565;$11,868.90;$1,004,210,928.79;4;20.17328;15.580706;17.665236;0.0
9727;200,000;$12,115.72;$2,423,143,791.88;1;23.776636;19.046732;21.193598;0.0
9728;50,038.872;$11,356.64;$568,273,676.96;1;20.465546;15.861833;17.95142;0.0
9729;48,753.378;$12,798.40;$623,965,376.51;16;19.882423;15.300936;17.380434;18.707157
9730;107,608.073;$12,368.42;$1,330,942,012.71;1;21.350918;16.71346;18.818363;20.161295
9731;148,441.678;$14,637.00;$2,172,741,275.50;1;-79.925705;24.389095;48.361774;0.0
9732;88,668.144;$15,717.55;$1,393,646,402.19;2;-79.97537;24.082876;47.996662;0.0
9733;266,741.016;$16,026.73;$4,274,987,004.63;1;-79.67366;25.943089;50.214333;61.046368
9734;120,371.153;$15,716.26;$1,891,784,335.62;9;-80.02479;23.778158;47.633495;58.279938
9735;55,878.599;$15,665.14;$875,345,903.08;20;-80.07397;23.47493;47.27195;57.89242
9736;289,323.221;$11,570.89;$3,347,727,343.58;1;9.501355;-4.02047;14.236409;13.945428
9737;24,006.295;$11,312.22;$271,564,438.09;1;8.41742;-4.970897;13.105248;12.817383
9738;97,054.874;$11,138.85;$1,081,079,975.87;1;8.149775;-5.205578;12.826559;0.0
9739;84,762.927;$11,331.17;$960,463,146.32;48;7.354682;-5.902737;11.997178;11.711876
9740;148,214.118;$11,298.50;$1,674,596,866.62;9;7.618414;-5.67149;12.272284;11.986283
9741;167,375.586;$11,327.54;$1,895,953,616.68;3;7.883442;-5.439106;12.54874;12.262037
9742;192,616.45;$11,771.27;$2,267,341,117.51;9;9.698054;14.724917;17.048922;17.060251
9743;65,925.097;$11,723.10;$772,846,791.07;25;9.42858;14.44313;16.76013;16.772863
9744;147,572.26;$11,797.26;$1,740,948,743.52;2;9.968853;15.008091;17.337814;17.348394
9745;260,814.15;$11,877.29;$3,097,764,865.38;1;11.343104;16.445139;18.803892;0.0
9746;145,230.99;$11,142.61;$1,618,252,092.88;1;16.079405;16.776518;14.546814;0.0
9747;197,154.685;$11,075.51;$2,183,589,269.95;4;15.232393;15.924432;13.710954;0.0
9748;46,842.943;$11,032.05;$516,773,494.09;17;14.674536;15.464716;13.176297;0.0
9749;240,341.008;$11,052.85;$2,656,452,826.63;15;14.952789;15.623371;13.424815;0.0
9750;486,457.822;$11,326.00;$5,509,620,904.67;1;18.400038;19.111046;16.83689;0.0
9751;1,298,618.552;$11,326.00;$14,708,152,684.68;1;18.400036;19.111046;16.83689;0.0
9752;119,649.281;$11,872.36;$1,420,519,009.84;2;-60.873962;16.957273;31.492805;0.0
9753;115,328.898;$11,856.22;$1,367,364,507.49;10;-60.970345;16.670015;31.16995;0.0
9754;24,931.939;$11,946.10;$297,839,529.77;1;-60.679764;17.536045;32.164703;0.0
9755;378,964.712;$11,888.56;$4,505,344,178.58;2;-60.7771;17.245949;31.81725;0.0
9756;248,327.301;$12,000.40;$2,980,026,758.08;1;-60.28555;18.7109;33.46373;0.0
9757;90,492.898;$11,897.96;$1,076,681,272.26;32;-61.066257;16.384161;30.848675;0.0
9758;1,491,516.187;$11,253.78;$16,785,191,286.36;1;20.939058;23.724148;25.093761;0.0
9759;1,315,499.344;$11,153.69;$14,672,672,259.38;64;18.61426;21.345959;22.689318;0.0
9760;127,104.359;$11,102.94;$1,411,232,408.86;5;19.18706;21.931913;23.281744;0.0
9761;38,647.892;$10,204.09;$394,366,629.45;2;10.308308;9.987403;0.0;0.0
9762;125,000;$10,241.50;$1,280,186,953.31;1;12.23818;11.911676;0.0;0.0
9763;30,160.258;$10,167.66;$306,659,360.86;1;9.501335;9.182772;0.0;0.0
9764;1,859,869.912;$10,154.28;$18,885,642,953.46;1;16.845186;13.974232;0.0;0.0
9765;125,102.412;$10,141.15;$1,268,681,935.98;2;15.152337;12.322865;0.0;0.0
9766;1,502,283.983;$10,125.02;$16,810,651,018.54;77;14.598874;11.782964;0.0;0.0
9767;2,463,911.759;$10,858.75;$26,755,009,483.13;81;12.651327;11.29739;3.102134;3.841077
9768;235,664.457;$2,729.37;$643,216,513.67;2;-57.95831;-7.06188;-11.203682;-13.161804
9769;3,270,441.165;$17,322.81;$56,653,235,125.22;24;0.002533;7.624057;56.023357;29.299273
9770;2,546,422.98;$16,368.49;$41,681,106,823.20;24;0.006092;4.994371;15.676964;12.159285
9771;175,294.789;$4,496.41;$788,197,261.31;3;-59.21479;-6.197481;-4.299958;-6.594206
9772;57,246.353;$4,968.05;$284,402,562.05;2;-62.006405;-7.961144;-7.306068;-9.944151
9773;1,567,852.752;$2,072.39;$3,249,199,802.81;24;0.068727;-53.48653;69.18777;0.554744
9774;57,897.698;$234,511.03;$13,577,648,673.09;146;-1.324344;3.593077;0.965961;-1.130136
9775;12,420,549.759;$4,293.02;$53,321,645,419.89;1;0.005195;-0.129429;53.671432;18.974554
9776;7,131,860.953;$32,665.34;$232,964,637,465.76;12;991.62054;19.319588;-37.049686;-24.595316
9777;5,136,709.504;$3,706.04;$19,036,851,947.60;1;0.002472;-0.045052;53.771477;19.086735
9778;7,066.496;$31,901.97;$225,435,127.24;1;989.26483;17.869652;-37.654545;-25.260025
9779;264,691,771,198.055;$0.26;$67,505,164,169.65;5;-14.685626;-1.162275;182.49068;69.0451
9780;10,300,111.303;$15,822.40;$162,972,440,589.68;3;612.7635;-4.57483;-8.535072;-22.243635
9781;42,225,100.637;$247.85;$10,465,635,342.64;1;-14.415298;-5.581024;165.16269;56.650784
9782;2,680,596.081;$15,361.46;$41,177,880,962.97;75;0.00131;-2.919452;27.570047;10.612162
9783;6,718,823.528;$4,395.92;$29,535,390,313.79;4;-6.818301;-4.351089;-93.836624;-78.6352
9784;437,708.564;$4,265.88;$1,867,211,425.54;2;-7.545352;-4.537747;-94.00735;-78.94535
