Cod Transacción;Núm. unidades;Valor unidad para las operaciones del día t;Valor fondo al cierre del día t;Núm. Invers.;Rentab. dia;Rentab. mes;Rentab. sem;Rentab. año
326;1,563,772.816;$170,139.34;$266,059,273,641.20;1;-84.04522;20.171778;12.0967;8.172719
327;7,760,695.873;$16,113.63;$125,053,009,466.13;32;1.61E-4;-0.040596;6.804085;9.796828
328;103,961,311,236,430;$0.00;$5,432,995.05;1;0.0;0.0;0.0;0.0
329;590,424.099;$1.13;$669,507.75;3;5.418295;-71.44192;-98.84487;162.62401
330;1,026,215.792;$1.16;$1,185,780.74;1;5.418642;-71.441734;-98.84451;162.60435
331;242,458.131;$10,360.67;$2,512,027,514.29;1;0.0;-0.633521;-0.247046;-0.193834
332;943,772.031;$9,899.74;$9,343,095,864.50;20;0.0;-1.429089;-1.087134;-1.040335
333;1,193,943.469;$10,269.65;$12,261,385,119.29;7;0.0;-0.61168;-0.149706;-0.077777
334;122,497.961;$10,164.76;$1,245,161,859.20;1;0.0;-0.639023;-0.272673;-0.218555
335;96,634,164.575;$74.05;$7,155,845,112.85;1;0.027874;0.064163;5.526907;8.684564
336;260,363,249.508;$203.65;$53,023,111,935.54;2;0.027864;0.482685;5.78433;8.798593
337;460,377,144.378;$74.19;$34,157,663,559.74;5;0.027863;0.239063;5.615833;8.626538
338;42,647,980.411;$7,751.13;$330,569,929,066.67;5;0.028015;0.251124;6.374753;9.391496
339;84,968,411.114;$2,998.37;$254,767,016,348.66;2;0.027961;0.770271;6.357919;9.306461
340;137,742,834.021;$445.45;$61,357,857,537.10;3;0.027864;0.86744;6.039731;8.929257
341;100,434,781.929;$203.81;$20,469,470,222.02;1;0.027841;0.886385;5.963503;8.840529
342;111,732,751.066;$445.90;$49,821,219,645.68;1;0.027912;0.031354;5.667794;8.738056
343;105,994,162.845;$1,731.53;$183,531,579,649.02;5;0.027946;0.041655;6.112608;9.108814
344;446,604.043;$15,672.14;$6,999,241,989.05;3;0.080537;0.761842;4.42515;9.336654
345;1,896,510.094;$15,684.58;$29,745,973,290.54;16;0.080537;1.264683;4.423386;9.334836
